Ten_lop,ID_lop,ID_khoa
091122B,1096,0
09112CL1,1097,0
09112CL2,1098,0
09112CL3,1099,0
091130A,1100,0
091130B,1101,0
091130C,1102,0
091140A,1103,0
091140B,1104,0
091140C,1105,0
091140D,1106,0
09114CL1,1107,0
09114CL2,1108,0
091150A,1109,0
091150B,1110,0
091150C,1111,0
091160A,1112,0
091160B,1113,0
091160C,1114,0
091170A,1115,0
091170B,1116,0
091170C,1117,0
091180A,1118,0
091180B,1119,0
091180C,1120,0
09118CL2,1121,0
09118CLC,1122,0
09119 CLC,1123,0
091190A,1124,0
091190B,1125,0
091190C,1126,0
09119CLC,1127,0
091201A,1128,0
091201B,1129,0
091202A,1130,0
091202B,1131,0
091210A,1132,0
091210B,1133,0
091230A,1134,0
091230B,1135,0
091230C,1136,0
091241A,1137,0
091241B,1138,0
091241C,1139,0
091242A,1140,0
091242B,1141,0
091242C,1142,0
09124CLC,1143,0
091251A,1144,0
091251B,1145,0
091252A,1146,0
