"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"371","Phương pháp Phần tử hữu hạn - Căn bản","IFEM230220",NULL,NULL,NULL,NULL,NULL
"372","Công nghệ tạo mẫu nhanh & Thiết kế ngược","RAPT330724",NULL,NULL,NULL,NULL,NULL
"373","Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược","ERED314125",NULL,NULL,NULL,NULL,NULL
"374","Các phương pháp gia công đặc biệt","NTMP320725",NULL,NULL,NULL,NULL,NULL
"375","Thí nghiệm đo lường nâng cao","AEMM214025",NULL,NULL,NULL,NULL,NULL
"376","Điều khiển tự động","AUCO330329",NULL,NULL,NULL,NULL,NULL
"377","Thí nghiệm Bảo trì và bảo dưỡng công nghiệp","EIMA310625",NULL,NULL,NULL,NULL,NULL
"378","Quản trị sản xuất theo Lean và JIT","LJIT321126",NULL,NULL,NULL,NULL,NULL
"379","Cảm biến và cơ cấu chấp hành","ENMA225929",NULL,NULL,NULL,NULL,NULL
"380","Bảo trì và bảo dưỡng công nghiệp","IMAS320525",NULL,NULL,NULL,NULL,NULL
"381","Năng lượng và quản lý năng lượng","ERMA321025",NULL,NULL,NULL,NULL,NULL
"382","Trang bị điện - Điện tử trong máy công nghiệp","EEEI321925",NULL,NULL,NULL,NULL,NULL
"383","Nhập môn Kỹ thuật Cơ khí","INME130125",NULL,NULL,NULL,NULL,NULL
"384","Thí nghiệm vật lý 1","PHYS111202",NULL,NULL,NULL,NULL,NULL
"385","Vẽ kỹ thuật cơ khí","MEDR141123",NULL,NULL,NULL,NULL,NULL
"386","Vẽ kỹ thuật cơ khí nâng cao","AMDR221223",NULL,NULL,NULL,NULL,NULL
"387","Sức bền vật liệu (Cơ khí)","MEMA230720",NULL,NULL,NULL,NULL,NULL
"388","Nguyên lý - Chi tiết máy ","MMCD230323",NULL,NULL,NULL,NULL,NULL
"389","Đồ án Thiết kế máy","MDPR310423",NULL,NULL,NULL,NULL,NULL
"390","Dung sai - Kỹ thuật đo","TOMT220225",NULL,NULL,NULL,NULL,NULL
"391","Thí nghiệm đo lường cơ khí","EXMM210325",NULL,NULL,NULL,NULL,NULL
"392","Vật liệu học","ENMA220230",NULL,NULL,NULL,NULL,NULL
"393","Cơ sở công nghệ chế tạo máy","FMMT330825",NULL,NULL,NULL,NULL,NULL
"394","Công nghệ kim loại","METE224230",NULL,NULL,NULL,NULL,NULL
"395","TN Công nghệ thuỷ lực và khí nén","EPHT210629",NULL,NULL,NULL,NULL,NULL
"396","Máy và hệ thống điều khiển số","MTNC330925",NULL,NULL,NULL,NULL,NULL
"397","Công nghệ chế tạo máy","MMAT344225",NULL,NULL,NULL,NULL,NULL
"398","Đồ án Công nghệ chế tạo máy","PMMT311625",NULL,NULL,NULL,NULL,NULL
"399","TN Trang bị điện - Điện tử trong máy công nghiệp","ELDR312025",NULL,NULL,NULL,NULL,NULL
"400","Công nghệ CAD/CAM-CNC","CCCT331725",NULL,NULL,NULL,NULL,NULL
